OriginalName,AuthorID,Domain,Num
"Schumann, Gunter",7103329271,Attention Deficit Hyperactivity Disorder; Rating Scale; Informants,1
"Schumann, Gunter",7103329271,Involutional Depression; Electroconvulsive Therapy; Functional Connectivity,1
"Schumann, Gunter",7103329271,Aggression; Serotonin; Peromyscus Californicus,1
"Schumann, Gunter",7103329271,Type I Error Rate; Genome-Wide Association Study; Score Statistic,1
"Schumann, Gunter",7103329271,Hallucinations; Psychotic Disorders; Schizophrenia,1
"Schumann, Gunter",7103329271,Executive Function; School Readiness; Preschool Children,1
"Schumann, Gunter",7103329271,Emotion; Evoked Potentials; Cognitive Strategies,1
"Schumann, Gunter",7103329271,Functional Magnetic Resonance Imaging; Familywise Error Rate; Brain Mapping,1
"Schumann, Gunter",7103329271,Personality Development; Conscientiousness; Longitudinal Studies,1
"Schumann, Gunter",7103329271,Tobacco Dependence; Smoking; Nicotinic Receptors,1
"Schumann, Gunter",7103329271,Alzheimer's Disease; Poly(Divinyl-Co-N-Vinylpyrrolidinone); Cognitive Dysfunction,1
"Schumann, Gunter",7103329271,Pain; Opioid Receptors; Pharmacogenomics,1
"Schumann, Gunter",7103329271,Cognitive Aging; Processing Speed; Cognition,1
"Schumann, Gunter",7103329271,Tobacco Smoke; Nicotine Tartrate; Pregnancy,1
"Schumann, Gunter",7103329271,Outcome Measurement; Information Systems; Local Independence,1
"Schumann, Gunter",7103329271,Conduct Disorder; Irritability; Problem Behavior,1
"Schumann, Gunter",7103329271,Alcohol Abuse; Endophenotypes; Alcoholism,1
"Schumann, Gunter",7103329271,Drosophila; Animals; Sedation,1
"Schumann, Gunter",7103329271,Shape Space; Diffeomorphism; Diagnostic Imaging,1
"Schumann, Gunter",7103329271,Righting Reflex; Alcohol Drinking; Blood Alcohol Content,1
"Schumann, Gunter",7103329271,Apolipoprotein E; Cognitive Aging; Genotype,1
"Schumann, Gunter",7103329271,Mental Disease; Dysbindin; Neurodevelopment,1
"Schumann, Gunter",7103329271,International Classification of Diseases; Mental Disease; Posttraumatic Stress Disorder,1
"Schumann, Gunter",7103329271,Attention Deficit Hyperactivity Disorder; Steryl-Sulfatase; X Chromosome,1
"Schumann, Gunter",7103329271,Trisomy 2P Chromosome 2; Chromosome Deletion; Haploinsufficiency,1
"Schumann, Gunter",7103329271,Alcohol Abuse; Genome-Wide Association Study; Alcoholism,1
"Schumann, Gunter",7103329271,Canton of Zurich; Cohort; Involutional Depression,1
"Schumann, Gunter",7103329271,Psychological Support; Mindfulness; COVID-19,1
"Guala, Francesco",6603134035,None,0
"Fincher, Corey L.",16549676000,Sex Characteristics; Mate Choice; Evolutionary Psychology,3
"Fincher, Corey L.",16549676000,Disgust; Outgroup; Immune System,2
"Thornhill, Randy",36885392500,Postnatal Depression; Pregnancy; Postpartum Period,1
"Thornhill, Randy",36885392500,Polyandry; Sexual Conflict; Drosophila Melanogaster,1
"Lindquist, Kristen A.",13908252800,Risky Decision Making; Pathological Gambling; Reward,3
"Lindquist, Kristen A.",13908252800,Facial Expression; Emotion; Attentional Bias,2
"Lindquist, Kristen A.",13908252800,Interoception; Insula; Emotion,2
"Lindquist, Kristen A.",13908252800,Theories of Emotion; Anger; Cognitive Appraisal,2
"Lindquist, Kristen A.",13908252800,Ecological Momentary Assessment; Expectancy; Emotion,2
"Lindquist, Kristen A.",13908252800,Connectome; Functional Magnetic Resonance Imaging; Functional Connectivity,1
"Lindquist, Kristen A.",13908252800,Perceived Discrimination; African American; Racism,1
"Lindquist, Kristen A.",13908252800,Preschool Children; Lexical Development; Mutual Exclusivity,1
"Lindquist, Kristen A.",13908252800,Semantic Memory; Temporal Lobe; Thematic Relations,1
"Lindquist, Kristen A.",13908252800,Moral Judgement; Emotion; Disgust,1
"Lindquist, Kristen A.",13908252800,Age Differences; Time Perspective; Young Adult,1
"Lindquist, Kristen A.",13908252800,Mental Arithmetic; Diastolic Blood Pressure; Physiological Stress,1
"Lindquist, Kristen A.",13908252800,Anger; Sadness; Decision Making,1
"Lindquist, Kristen A.",13908252800,Emotion; Evoked Potentials; Cognitive Strategies,1
"Lindquist, Kristen A.",13908252800,Self Concept; Self-Reference; Theory of Mind,1
"Lindquist, Kristen A.",13908252800,Research Personnel; Research Productivity; Women in Science,1
"Lindquist, Kristen A.",13908252800,Emotion; Involutional Depression; Facial Expression,1
"Lindquist, Kristen A.",13908252800,Proverbs; Figurative Meaning; Metonymy,1
"Lindquist, Kristen A.",13908252800,Goal Pursuit; Priming; Young Adult,1
"Lindquist, Kristen A.",13908252800,Conceptual Metaphor Theory; Embodied Metaphor; Emotion,1
"Lindquist, Kristen A.",13908252800,Dehumanization; Essentialism; Young Adult,1
"Wager, Tor D.",6603627020,Nocebo Effect; Placebos; Expectancy,11
"Wager, Tor D.",6603627020,Connectome; Functional Magnetic Resonance Imaging; Functional Connectivity,4
